IncidentNumber,CalendarYear,MonthText,Type,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,VehiclePowerType,VehicleManufacturer,IncGeo_BoroughName,IncGeo_WardName,IncGeo_WardCode,Lithium batteries mentioned in report?
143337-16092023,2023,Sep,e-bike,Electricity,E-Bike,Plastic - raw material only,NULL,NULL,SOUTHWARK,PECKHAM RYE,E05011111,Yes
143673-17092023,2023,Sep,Other Lithium Battery,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,KENSINGTON AND CHELSEA,STANLEY,E05009405,Yes
143711-17092023,2023,Sep,e-cigarette,Electricity,e-Smoking equipment,Household paper/Cardboard,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
143774-17092023,2023,Sep,Other Lithium Battery,Electricity,Other appliance or equipment,Plastic - raw material only,NULL,NULL,HOUNSLOW,HOUNSLOW HEATH,E05013622,Yes
144368-18092023,2023,Sep,Bus/coach ,Unknown,Unknown vehicle fault,Not known,Petrol/Electric Hybrid,UNKNOWN,HARINGEY,CROUCH END,E05013588,No
145111-19092023,2023,Sep,Other Lithium Battery,Not applicable,Flammable chemicals,Other textiles,NULL,NULL,BEXLEY,SLADE GREEN & NORTHEND,E05011231,Yes
145977-20092023,2023,Sep,e-bike,Electricity,"Batteries, generators",Not known,Electric batteries,Other,TOWER HAMLETS,LANSBURY,E05009325,No
146359-21092023,2023,Sep,Bus/coach ,Not applicable,Not known,Wiring insulation,Diesel/Electric Hybrid,Other,WESTMINSTER,KNIGHTSBRIDGE & BELGRAVIA,E05013797,No
146931-22092023,2023,Sep,Other Lithium Battery,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,BROMLEY,CHISLEHURST,E05013993,Yes
147547-23092023,2023,Sep,Other Lithium Battery,Unknown,Not known,Not known,NULL,NULL,HARINGEY,NORTHUMBERLAND PARK,E05013596,Yes
148097-24092023,2023,Sep,Car ,Electricity,"Batteries, generators",Rubber - raw material only,Petrol/Electric Hybrid,BMW,ENFIELD,NEW SOUTHGATE,E05013686,No
149151-26092023,2023,Sep,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,KINGSTON UPON THAMES,COOMBE HILL,E05013932,Yes
149324-26092023,2023,Sep,Other Lithium Battery,Unknown,Not known,Unspecified material for recycling,NULL,NULL,NEWHAM,ROYAL ALBERT,E05013922,Yes
149574-26092023,2023,Sep,e-bike,Electricity,Battery charger,Upholstered furniture,NULL,NULL,BARKING AND DAGENHAM,CHADWELL HEATH,E05014058,No
149685-27092023,2023,Sep,e-bike,Electricity,E-Bike,Internal Fittings,NULL,NULL,NEWHAM,,,No
149709-27092023,2023,Sep,Lorry/HGV ,Electricity,Battery charger,Rubbish/Waste material,Petrol/Electric Hybrid,Volvo,ISLINGTON,FINSBURY PARK,E05013703,No
149827-27092023,2023,Sep,Other road vehicle,Electricity,"Batteries, generators",Rubber - raw material only,Electric batteries,UNKNOWN,NEWHAM,STRATFORD,E05013924,No
151173-29092023,2023,Sep,Bus/coach ,Electricity,Vehicle electrical fault,Wiring insulation,Diesel/Electric Hybrid,Volvo,BARNET,GARDEN SUBURB,E05013641,No
151285-29092023,2023,Sep,e-bike,Unknown,Not known,Household paper/Cardboard,Electric batteries,Other,RICHMOND UPON THAMES,WEST TWICKENHAM,E05013790,No
151422-29092023,2023,Sep,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Mitsubishi,ENFIELD,UPPER EDMONTON,E05013694,No
151574-30092023,2023,Sep,Other Lithium Battery,Electricity,Vacuum cleaner,Unspecified internal fitting/part of structure,NULL,NULL,BEXLEY,SIDCUP,E05011230,Yes
152481-01102023,2023,Oct,e-scooter,Electricity,E-Scooter,None,NULL,NULL,KENSINGTON AND CHELSEA,ST. HELEN'S,E05009404,No
152649-02102023,2023,Oct,Car ,Electricity,"Batteries, generators",Plastic - raw material only,Diesel/Electric Hybrid,Toyota,GREENWICH,ELTHAM PARK & PROGRESS,E05014078,No
152901-02102023,2023,Oct,Bus/coach ,Not applicable,Wheels or brakes,External fittings,Diesel/Electric Hybrid,Other,SOUTHWARK,ST. GILES,E05011115,No
153127-02102023,2023,Oct,Bus/coach ,Not applicable,Other non-electrical vehicle fault,Unspecified internal fitting/part of structure,Diesel/Electric Hybrid,Other,LAMBETH,CLAPHAM PARK,E05014101,No
153737-03102023,2023,Oct,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,LAMBETH,CLAPHAM EAST,E05014100,Yes
155909-07102023,2023,Oct,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,BMW,LAMBETH,CLAPHAM COMMON & ABBEVILLE,E05014099,No
156559-08102023,2023,Oct,Car ,Electricity,Vehicle electrical fault,Internal Fittings,Petrol/Electric Hybrid,Toyota,BARKING AND DAGENHAM,CHADWELL HEATH,E05014058,No
156793-09102023,2023,Oct,e-bike,Electricity,E-Bike,Rubbish/Waste material,Diesel/Biodiesel,Other,SOUTHWARK,ROTHERHITHE,E05011112,Yes
158509-11102023,2023,Oct,e-cigarette,Electricity,e-Smoking equipment,Other paper product,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
158529-11102023,2023,Oct,Motorcycle ,Not applicable,Liquids; petrol/oil related,Petrol/Oil products,Petrol/Electric Hybrid,UNKNOWN,GREENWICH,CHARLTON VILLAGE & RIVERSIDE,E05014075,No
159337-13102023,2023,Oct,e-scooter,Electricity,E-Scooter,Wiring insulation,NULL,NULL,ISLINGTON,TUFNELL PARK,E05013713,No
159442-13102023,2023,Oct,Lorry/HGV ,Electricity,"Batteries, generators",Not known,Diesel/Electric Hybrid,UNKNOWN,LAMBETH,VAUXHALL,E05014117,No
159487-13102023,2023,Oct,e-bike,Electricity,"Batteries, generators",Rubbish/Waste material,NULL,NULL,WALTHAM FOREST,LARKSWOOD,E05013894,Yes
159660-13102023,2023,Oct,Car ,Electricity,"Wiring, cabling, plugs",Wiring insulation,Diesel/Electric Hybrid,BMW,BROMLEY,CRYSTAL PALACE & ANERLEY,E05013995,No
159906-13102023,2023,Oct,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,SOUTHWARK,CHAUCER,E05011098,Yes
160100-14102023,2023,Oct,e-bike,Electricity,E-Scooter,Other item,Electric batteries,UNKNOWN,SUTTON,SUTTON NORTH,E05013766,No
160323-14102023,2023,Oct,Car ,Electricity,Vehicle electrical fault,Plastic - raw material only,Electric batteries,BMW,HARINGEY,ST. ANN'S,E05013597,No
160903-15102023,2023,Oct,e-bike,Unknown,Not known,Rubber - raw material only,Electric batteries,Other,CITY OF LONDON,FARRINGDON WITHIN,E05009304,No
160933-15102023,2023,Oct,Car ,Electricity,"Wiring, cabling, plugs",Other item,Electric batteries,Vauxhall/GM,TOWER HAMLETS,BOW EAST,E05009319,No
161240-16102023,2023,Oct,Other Lithium Battery,Electricity,"Batteries, generators",Rubbish/Waste material,Diesel/Biodiesel,Other,SOUTHWARK,NORTH WALWORTH,E05011107,Yes
161632-16102023,2023,Oct,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,WALTHAM FOREST,FOREST,E05013887,Yes
161635-16102023,2023,Oct,e-bike,Electricity,"Batteries, generators",Other item,Electric batteries,NULL,HAMMERSMITH AND FULHAM,ADDISON,E05013733,Yes
161797-17102023,2023,Oct,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Mercedes,LAMBETH,GIPSY HILL,E05014103,No
162594-18102023,2023,Oct,e-bike,Electricity,E-Scooter,Rubber - raw material only,Electric batteries,Other,LEWISHAM,CATFORD SOUTH,E05013717,No
164113-20102023,2023,Oct,e-bike,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,WESTMINSTER,HYDE PARK,E05013796,No
165038-22102023,2023,Oct,Other Lithium Battery,Electricity,Audio equipment,Plastic - raw material only,NULL,NULL,ENFIELD,LOWER EDMONTON,E05013685,Yes
165511-23102023,2023,Oct,Other Lithium Battery,Electricity,Battery charger,Internal Fittings,NULL,NULL,KINGSTON UPON THAMES,KINGSTON TOWN,E05013938,Yes
165656-23102023,2023,Oct,e-bike,Electricity,E-Bike,Internal Fittings,Electric batteries,Other,ISLINGTON,CANONBURY,E05013701,No
166145-24102023,2023,Oct,e-cigarette,Electricity,e-Smoking equipment,"Paper, cardboard",NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
166259-24102023,2023,Oct,Van ,Other,Other cooking appliance,Internal Fittings,Diesel/Electric Hybrid,Mercedes,REDBRIDGE,FAIRLOP,E05011242,No
166842-25102023,2023,Oct,e-bike,Electricity,Other,Other item,Electric batteries,UNKNOWN,BARKING AND DAGENHAM,GASCOIGNE,E05014061,Yes
167097-26102023,2023,Oct,e-bike,Electricity,Other,Other item,NULL,NULL,LAMBETH,BRIXTON RUSH COMMON,E05014097,No
