IncidentNumber,CalendarYear,MonthText,Type,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,VehiclePowerType,VehicleManufacturer,IncGeo_BoroughName,IncGeo_WardName,IncGeo_WardCode,Lithium batteries mentioned in report?
003282-05012024,2024,Jan,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,Electric batteries,Other,HAMMERSMITH AND FULHAM,HAMMERSMITH BROADWAY,E05013741,No
003304-05012024,2024,Jan,Other Lithium Battery,Not applicable,Not known,Other textiles,NULL,NULL,WALTHAM FOREST,LEYTON,E05013896,Yes
003467-05012024,2024,Jan,Bus/coach ,Other,Other,None,Diesel/Electric Hybrid,Volvo,HARINGEY,HARRINGAY,E05013590,No
004514-07012024,2024,Jan,Car ,Unknown,Not known,Foam - raw material only,Petrol/Electric Hybrid,Mitsubishi,REDBRIDGE,WANSTEAD PARK,E05011254,No
004556-08012024,2024,Jan,e-bike,Electricity,E-Bike,Other item,Electric batteries,NULL,NEWHAM,PLAISTOW SOUTH,E05013919,Yes
004752-08012024,2024,Jan,e-scooter,Electricity,E-Scooter,Rubbish/Waste material,Electric batteries,UNKNOWN,ISLINGTON,FINSBURY PARK,E05013703,No
005256-09012024,2024,Jan,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,Diesel/Electric Hybrid,UNKNOWN,HILLINGDON,HEATHROW VILLAGES,E05013570,No
005520-09012024,2024,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Rubbish/Waste material,NULL,NULL,WANDSWORTH,NINE ELMS,E05014015,Yes
005713-10012024,2024,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Gases,NULL,NULL,NEWHAM,GREEN STREET WEST,E05013914,Yes
006330-11012024,2024,Jan,Bus/coach ,Electricity,Vehicle electrical fault,Other item,Electric batteries,NULL,MERTON,HILLSIDE,E05013816,Yes
009404-16012024,2024,Jan,e-scooter,Electricity,E-Scooter,Capacitor,Diesel/Electric Hybrid,Mercedes,BRENT,WILLESDEN GREEN,E05013517,No
009423-16012024,2024,Jan,Motorcycle ,Electricity,Vehicle electrical fault,Other item,Electric batteries,NULL,HILLINGDON,PINKWELL,E05013576,No
009444-16012024,2024,Jan,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Electric batteries,Other,HILLINGDON,UXBRIDGE,E05013580,No
011416-19012024,2024,Jan,Car ,Electricity,Vehicle electrical fault,Internal Fittings,Petrol/Electric Hybrid,Toyota,WANDSWORTH,EAST PUTNEY,E05014011,No
012045-20012024,2024,Jan,Car ,Electricity,Vehicle electrical fault,Plastic - raw material only,Electric batteries,Nissan,BRENT,NORTHWICK PARK,E05013505,No
012705-21012024,2024,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Gases,NULL,NULL,BROMLEY,KELSEY & EDEN PARK,E05013999,Yes
012714-21012024,2024,Jan,e-scooter,Electricity,E-Scooter,Unspecified internal fitting/part of structure,Electric batteries,UNKNOWN,EALING,HANGER HILL,E05013524,No
014133-23012024,2024,Jan,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,RICHMOND UPON THAMES,MORTLAKE & BARNES COMMON,E05013783,Yes
014286-24012024,2024,Jan,Bus/coach ,Electricity,Vehicle electrical fault,Unspecified internal fitting/part of structure,Electric batteries,UNKNOWN,WANDSWORTH,THAMESFIELD,E05014022,No
014388-24012024,2024,Jan,Car ,Not applicable,Cigarette,Household paper/Cardboard,Petrol/Electric Hybrid,Toyota,REDBRIDGE,BARKINGSIDE,E05011235,No
014430-24012024,2024,Jan,Car ,Electricity,Vehicle electrical fault,Internal Fittings,Petrol/Electric Hybrid,BMW,HARINGEY,NORTHUMBERLAND PARK,E05013596,No
015114-25012024,2024,Jan,e-bike,Not applicable,"Lighted paper or card, or other naked flame",Plastic - raw material only,Electric batteries,Other,WANDSWORTH,FALCONBROOK,E05014012,No
015602-26012024,2024,Jan,e-bike,Electricity,"Batteries, generators",Unspecified internal fitting/part of structure,NULL,NULL,KENSINGTON AND CHELSEA,COURTFIELD,E05009393,Yes
015937-27012024,2024,Jan,Warehouse ,Other,Other,Other item,Electric batteries,NULL,EALING,CENTRAL GREENFORD,E05013518,No
017508-29012024,2024,Jan,Bus/coach ,Not applicable,Wheels or brakes,Not known,Electric batteries,UNKNOWN,ISLINGTON,JUNCTION,E05013707,No
018663-01022024,2024,Feb,Car ,Electricity,Vehicle electrical fault,Other item,Petrol/Electric Hybrid,Volvo,SOUTHWARK,PECKHAM RYE,E05011111,Yes
019426-02022024,2024,Feb,e-bike,Electricity,E-Bike,Floor coverings,NULL,NULL,BROMLEY,PENGE & CATOR,E05014002,No
019808-03022024,2024,Feb,Multiple Vehicles ,Other,Other,Petrol/Oil products,Petrol/Electric Hybrid,Vauxhall/GM,CROYDON,SELSDON & ADDINGTON VILLAGE,E05011480,No
019888-03022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,BRENT,WELSH HARP,E05013513,Yes
020192-03022024,2024,Feb,e-bike,Unknown,Not known,Unspecified external fitting/part of structure,Electric batteries,Other,CAMDEN,WEST HAMPSTEAD,E05013671,No
021052-05022024,2024,Feb,e-bike,Electricity,E-Bike,Plastic - raw material only,NULL,NULL,EALING,EALING COMMON,E05013521,No
021199-05022024,2024,Feb,e-bike,Electricity,E-Bike,Rubber - raw material only,NULL,NULL,LAMBETH,BRIXTON WINDRUSH,E05014098,Yes
021655-06022024,2024,Feb,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,WESTMINSTER,ST. JAMES'S,E05013806,Yes
021760-06022024,2024,Feb,Car ,Electricity,"Batteries, generators",Not known,Unknown,Other,SUTTON,BELMONT,E05013755,No
021990-07022024,2024,Feb,e-bike,Electricity,E-Bike,Other item,NULL,NULL,TOWER HAMLETS,WHITECHAPEL,E05009336,Yes
022347-07022024,2024,Feb,Car ,Electricity,Vehicle electrical fault,Not known,Electric batteries,Other,MERTON,HILLSIDE,E05013816,No
022528-08022024,2024,Feb,e-bike,Electricity,"Batteries, generators",Gases,NULL,NULL,TOWER HAMLETS,WHITECHAPEL,E05009336,Yes
022854-08022024,2024,Feb,e-bike,Electricity,E-Bike,Other item,Electric batteries,Other,HARINGEY,TOTTENHAM CENTRAL,E05013601,Yes
023084-09022024,2024,Feb,Car ,Electricity,"Wiring, cabling, plugs",Plastic - raw material only,Petrol/Electric Hybrid,Toyota,EALING,CENTRAL GREENFORD,E05013518,No
023116-09022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Gases,NULL,NULL,KENSINGTON AND CHELSEA,QUEEN'S GATE,E05009401,Yes
023145-09022024,2024,Feb,e-cigarette,Electricity,e-Smoking equipment,Household paper/Cardboard,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
023172-09022024,2024,Feb,e-cigarette,Electricity,e-Smoking equipment,Household paper/Cardboard,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
024740-12022024,2024,Feb,Car ,Unknown,Unknown vehicle fault,Other item,Petrol/Electric Hybrid,Toyota,BARNET,COLINDALE SOUTH,E05013633,No
025315-12022024,2024,Feb,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,HAMMERSMITH AND FULHAM,WHITE CITY,E05013752,No
025374-13022024,2024,Feb,e-bike,Electricity,E-Bike,Wiring insulation,NULL,NULL,WESTMINSTER,MARYLEBONE,E05013801,No
026522-15022024,2024,Feb,e-scooter,Electricity,E-Scooter,Plastic - raw material only,NULL,NULL,BRENT,ROUNDWOOD,E05013509,No
026846-15022024,2024,Feb,Trailer (not attached to tractor unit),Electricity,"Batteries, generators",Other item,Unknown,Other,LAMBETH,BRIXTON NORTH,E05014096,Yes
026927-15022024,2024,Feb,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Mitsubishi,REDBRIDGE,WANSTEAD PARK,E05011254,No
026929-15022024,2024,Feb,e-bike,Electricity,E-Bike,Other item,NULL,NULL,LEWISHAM,GROVE PARK,E05013723,Yes
027126-16022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Other item,Diesel/Biodiesel,NULL,HARINGEY,NOEL PARK,E05013595,Yes
027327-16022024,2024,Feb,e-bike,Electricity,E-Bike,Other item,NULL,NULL,HARROW,GREENHILL,E05013546,Yes
027630-17022024,2024,Feb,Other Lithium Battery,Other,Other,Rubbish/Waste material,NULL,NULL,NEWHAM,ROYAL ALBERT,E05013922,Yes
028033-17022024,2024,Feb,Car ,Unknown,Other,Wiring insulation,Petrol/Electric Hybrid,Toyota,SOUTHWARK,OLD KENT ROAD,E05011109,No
028280-18022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,BEXLEY,BLACKFEN & LAMORBEY,E05011220,Yes
028624-18022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Not known,Diesel/Biodiesel,NULL,BARNET,CRICKLEWOOD,E05013634,Yes
028783-19022024,2024,Feb,Other Lithium Battery,Not applicable,Other,Other textiles,Diesel/Biodiesel,NULL,BARNET,CRICKLEWOOD,E05013634,Yes
029260-20022024,2024,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Chemicals in raw state,NULL,NULL,HARROW,STANMORE,E05013560,Yes
029684-20022024,2024,Feb,e-scooter,Electricity,E-Scooter,Other item,NULL,NULL,WANDSWORTH,ROEHAMPTON,E05014017,Yes
029976-21022024,2024,Feb,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,WESTMINSTER,PIMLICO SOUTH,E05013803,Yes
030314-22022024,2024,Feb,e-bike,Electricity,E-Bike,Wiring insulation,NULL,NULL,HACKNEY,SPRINGFIELD,E05009383,No
031439-24022024,2024,Feb,e-bike,Electricity,E-Bike,Plastic - raw material only,NULL,NULL,CROYDON,BROAD GREEN,E05011465,Yes
033882-28022024,2024,Feb,e-bike,Electricity,E-Bike,Unspecified internal fitting/part of structure,Electric batteries,NULL,HAMMERSMITH AND FULHAM,WHITE CITY,E05013752,No
